Código universal de punto de suministro,Fecha,Hora,Consumo,Método de obtención
0,08-08-2021,2,0.161,R
0,08-08-2021,3,0.107,R
0,08-08-2021,4,0.079,R
0,08-08-2021,5,0.073,R
0,08-08-2021,6,0.082,R
0,08-08-2021,7,0.07,R
0,08-08-2021,8,0.077,R
0,08-08-2021,9,0.083,R
0,08-08-2021,10,0.072,R
0,08-08-2021,11,0.232,R
0,08-08-2021,12,0.228,R
0,08-08-2021,13,0.206,R
0,08-08-2021,14,0.106,R
0,08-08-2021,15,0.076,R
0,08-08-2021,16,0.079,R
0,08-08-2021,17,0.082,R
0,08-08-2021,18,0.073,R
0,08-08-2021,19,0.08,R
0,08-08-2021,20,0.072,R
0,08-08-2021,21,0.08,R
0,08-08-2021,22,0.072,R
0,08-08-2021,23,0.083,R
0,08-08-2021,24,0.106,R
0,09-08-2021,1,0.408,R
0,09-08-2021,2,0.292,R
0,09-08-2021,3,0.365,R
0,09-08-2021,4,0.083,R
0,09-08-2021,5,0.078,R
0,09-08-2021,6,0.069,R
0,09-08-2021,7,0.08,R
0,09-08-2021,8,0.075,R
0,09-08-2021,9,0.148,R
0,09-08-2021,10,0.178,R
0,09-08-2021,11,0.2,R
0,09-08-2021,12,0.17,R
0,09-08-2021,13,0.236,R
0,09-08-2021,14,0.196,R
0,09-08-2021,15,0.234,R
0,09-08-2021,16,0.19,R
0,09-08-2021,17,0.195,R
0,09-08-2021,18,0.325,R
0,09-08-2021,19,0.352,R
0,09-08-2021,20,0.086,R
0,09-08-2021,21,0.119,R
0,09-08-2021,22,0.095,R
0,09-08-2021,23,0.202,R
0,09-08-2021,24,0.272,R
0,10-08-2021,1,0.144,R
0,10-08-2021,2,0.085,R
0,10-08-2021,3,0.074,R
0,10-08-2021,4,0.084,R
0,10-08-2021,5,0.105,R
0,10-08-2021,6,0.089,R
0,10-08-2021,7,0.334,R
0,10-08-2021,8,0.147,R
0,10-08-2021,9,0.166,R
0,10-08-2021,10,0.645,R
0,10-08-2021,11,0.25,R
0,10-08-2021,12,0.159,R
0,10-08-2021,13,0.218,R
0,10-08-2021,14,0.177,R
0,10-08-2021,15,0.255,R
0,10-08-2021,16,0.209,R
0,10-08-2021,17,0.292,R
0,10-08-2021,18,0.361,R
0,10-08-2021,19,0.339,R
0,10-08-2021,20,0.316,R
0,10-08-2021,21,0.18,R
0,10-08-2021,22,0.08,R
0,10-08-2021,23,0.185,R
0,10-08-2021,24,0.244,R
0,11-08-2021,1,0.103,R
0,11-08-2021,2,0.086,R
0,11-08-2021,3,0.081,R
0,11-08-2021,4,0.08,R
0,11-08-2021,5,0.08,R
0,11-08-2021,6,0.079,R
0,11-08-2021,7,0.08,R
0,11-08-2021,8,0.078,R
0,11-08-2021,9,0.193,R
0,11-08-2021,10,0.193,R
0,11-08-2021,11,0.215,R
0,11-08-2021,12,0.249,R
0,11-08-2021,13,0.175,R
0,11-08-2021,14,0.228,R
0,11-08-2021,15,0.193,R
0,11-08-2021,16,0.24,R
0,11-08-2021,17,0.219,R
0,11-08-2021,18,0.363,R
0,11-08-2021,19,0.388,R
0,11-08-2021,20,0.253,R
0,11-08-2021,21,0.121,R
0,11-08-2021,22,0.217,R
0,11-08-2021,23,0.355,R
0,11-08-2021,24,0.438,R
0,12-08-2021,1,0.345,R
0,12-08-2021,2,0.417,R
0,12-08-2021,3,0.114,R
0,12-08-2021,4,0.576,R
0,12-08-2021,5,0.087,R
0,12-08-2021,6,0.074,R
0,12-08-2021,7,0.079,R
0,12-08-2021,8,0.081,R
0,12-08-2021,9,0.149,R
0,12-08-2021,10,0.87,R
0,12-08-2021,11,0.209,R
0,12-08-2021,12,0.211,R
0,12-08-2021,13,0.245,R
0,12-08-2021,14,0.185,R
0,12-08-2021,15,0.2,R
0,12-08-2021,16,0.271,R
0,12-08-2021,17,0.232,R
0,12-08-2021,18,0.344,R
0,12-08-2021,19,0.388,R
0,12-08-2021,20,0.389,R
0,12-08-2021,21,0.21,R
0,12-08-2021,22,0.226,R
0,12-08-2021,23,0.304,R
0,12-08-2021,24,0.257,R
0,13-08-2021,1,0.164,R
0,13-08-2021,2,0.095,R
0,13-08-2021,3,0.084,R
0,13-08-2021,4,0.091,R
0,13-08-2021,5,0.09,R
0,13-08-2021,6,0.089,R
0,13-08-2021,7,0.084,R
0,13-08-2021,8,0.08,R
0,13-08-2021,9,0.189,R
0,13-08-2021,10,0.218,R
0,13-08-2021,11,0.253,R
0,13-08-2021,12,0.202,R
0,13-08-2021,13,0.21,R
0,13-08-2021,14,0.185,R
0,13-08-2021,15,0.207,R
0,13-08-2021,16,0.198,R
0,13-08-2021,17,0.264,R
0,13-08-2021,18,0.356,R
0,13-08-2021,19,0.405,R
0,13-08-2021,20,0.409,R
0,13-08-2021,21,0.445,R
0,13-08-2021,22,0.452,R
0,13-08-2021,23,0.451,R
0,13-08-2021,24,0.439,R
0,14-08-2021,1,0.441,R
0,14-08-2021,2,0.311,R
0,14-08-2021,3,0.131,R
0,14-08-2021,4,0.108,R
0,14-08-2021,5,0.082,R
0,14-08-2021,6,0.082,R
0,14-08-2021,7,0.081,R
0,14-08-2021,8,0.08,R
0,14-08-2021,9,0.08,R
0,14-08-2021,10,0.075,R
0,14-08-2021,11,0.084,R
0,14-08-2021,12,0.303,R
0,14-08-2021,13,0.23,R
0,14-08-2021,14,0.117,R
0,14-08-2021,15,0.083,R
0,14-08-2021,16,0.07,R
0,14-08-2021,17,0.087,R
0,14-08-2021,18,0.106,R
0,14-08-2021,19,0.08,R
0,14-08-2021,20,0.071,R
0,14-08-2021,21,0.081,R
0,14-08-2021,22,0.081,R
0,14-08-2021,23,0.075,R
0,14-08-2021,24,0.073,R
0,15-08-2021,1,0.082,R
0,15-08-2021,2,0.08,R
0,15-08-2021,3,0.079,R
0,15-08-2021,4,0.087,R
0,15-08-2021,5,0.081,R
0,15-08-2021,6,0.069,R
0,15-08-2021,7,0.116,R
0,15-08-2021,8,0.105,R
0,15-08-2021,9,0.082,R
0,15-08-2021,10,0.086,R
0,15-08-2021,11,0.186,R
0,15-08-2021,12,0.224,R
0,15-08-2021,13,0.429,R
0,15-08-2021,14,0.206,R
0,15-08-2021,15,0.444,R
0,15-08-2021,16,0.079,R
0,15-08-2021,17,0.081,R
0,15-08-2021,18,0.077,R
0,15-08-2021,19,0.071,R
0,15-08-2021,20,0.076,R
0,15-08-2021,21,0.08,R
0,15-08-2021,22,0.08,R
0,15-08-2021,23,0.076,R
0,15-08-2021,24,0.07,R
0,16-08-2021,1,0.084,R
0,16-08-2021,2,0.098,R
0,16-08-2021,3,0.077,R
0,16-08-2021,4,0.073,R
0,16-08-2021,5,0.081,R
0,16-08-2021,6,0.081,R
0,16-08-2021,7,0.067,R
0,16-08-2021,8,0.081,R
0,16-08-2021,9,0.087,R
0,16-08-2021,10,0.067,R
0,16-08-2021,11,0.079,R
0,16-08-2021,12,0.117,R
0,16-08-2021,13,0.278,R
0,16-08-2021,14,0.159,R
0,16-08-2021,15,0.095,R
0,16-08-2021,16,0.09,R
0,16-08-2021,17,0.081,R
0,16-08-2021,18,0.08,R
0,16-08-2021,19,0.068,R
0,16-08-2021,20,0.079,R
0,16-08-2021,21,0.13,R
0,16-08-2021,22,0.09,R
0,16-08-2021,23,0.217,R
0,16-08-2021,24,0.458,R
0,17-08-2021,1,0.216,R
0,17-08-2021,2,0.205,R
0,17-08-2021,3,0.168,R
0,17-08-2021,4,0.083,R
0,17-08-2021,5,0.085,R
0,17-08-2021,6,0.076,R
0,17-08-2021,7,0.146,R
0,17-08-2021,8,0.096,R
0,17-08-2021,9,0.073,R
0,17-08-2021,10,0.093,R
0,17-08-2021,11,0.19,R
0,17-08-2021,12,0.159,R
0,17-08-2021,13,0.092,R
0,17-08-2021,14,0.09,R
0,17-08-2021,15,0.086,R
0,17-08-2021,16,0.085,R
0,17-08-2021,17,0.084,R
0,17-08-2021,18,0.08,R
0,17-08-2021,19,0.087,R
0,17-08-2021,20,0.084,R
0,17-08-2021,21,0.074,R
0,17-08-2021,22,0.084,R
0,17-08-2021,23,0.16,R
0,17-08-2021,24,0.406,R
0,18-08-2021,1,0.188,R
0,18-08-2021,2,0.088,R
0,18-08-2021,3,0.087,R
0,18-08-2021,4,0.075,R
0,18-08-2021,5,0.082,R
0,18-08-2021,6,0.082,R
0,18-08-2021,7,0.069,R
0,18-08-2021,8,0.083,R
0,18-08-2021,9,0.068,R
0,18-08-2021,10,0.09,R
0,18-08-2021,11,0.074,R
0,18-08-2021,12,0.294,R
0,18-08-2021,13,0.193,R
0,18-08-2021,14,0.257,R
0,18-08-2021,15,0.204,R
0,18-08-2021,16,0.079,R
0,18-08-2021,17,0.081,R
0,18-08-2021,18,0.075,R
0,18-08-2021,19,0.08,R
0,18-08-2021,20,0.07,R
0,18-08-2021,21,0.08,R
0,18-08-2021,22,0.08,R
0,18-08-2021,23,0.152,R
0,18-08-2021,24,0.508,R
0,19-08-2021,1,0.195,R
0,19-08-2021,2,0.165,R
0,19-08-2021,3,0.093,R
0,19-08-2021,4,0.084,R
0,19-08-2021,5,0.078,R
0,19-08-2021,6,0.086,R
0,19-08-2021,7,0.079,R
0,19-08-2021,8,0.155,R
0,19-08-2021,9,0.114,R
0,19-08-2021,10,0.071,R
0,19-08-2021,11,0.081,R
0,19-08-2021,12,0.076,R
0,19-08-2021,13,0.075,R
0,19-08-2021,14,0.08,R
0,19-08-2021,15,0.072,R
0,19-08-2021,16,0.081,R
0,19-08-2021,17,0.07,R
0,19-08-2021,18,0.083,R
0,19-08-2021,19,0.068,R
0,19-08-2021,20,0.084,R
0,19-08-2021,21,0.068,R
0,19-08-2021,22,0.084,R
0,19-08-2021,23,0.086,R
0,19-08-2021,24,0.242,R
0,20-08-2021,1,0.216,R
0,20-08-2021,2,0.124,R
0,20-08-2021,3,0.073,R
0,20-08-2021,4,0.081,R
0,20-08-2021,5,0.075,R
0,20-08-2021,6,0.073,R
0,20-08-2021,7,0.083,R
0,20-08-2021,8,0.14,R
0,20-08-2021,9,0.083,R
0,20-08-2021,10,0.08,R
0,20-08-2021,11,0.124,R
0,20-08-2021,12,0.303,R
0,20-08-2021,13,0.215,R
0,20-08-2021,14,0.22,R
0,20-08-2021,15,0.731,R
0,20-08-2021,16,0.205,R
0,20-08-2021,17,0.221,R
0,20-08-2021,18,0.207,R
0,20-08-2021,19,0.227,R
0,20-08-2021,20,0.115,R
0,20-08-2021,21,0.231,R
0,20-08-2021,22,0.204,R
0,20-08-2021,23,0.231,R
0,20-08-2021,24,0.216,R
0,21-08-2021,1,0.1,R
0,21-08-2021,2,0.074,R
0,21-08-2021,3,0.079,R
0,21-08-2021,4,0.073,R
0,21-08-2021,5,0.079,R
0,21-08-2021,6,0.072,R
0,21-08-2021,7,0.08,R
0,21-08-2021,8,0.072,R
0,21-08-2021,9,0.144,R
0,21-08-2021,10,0.085,R
0,21-08-2021,11,0.148,R
0,21-08-2021,12,0.701,R
0,21-08-2021,13,0.593,R
0,21-08-2021,14,0.274,R
0,21-08-2021,15,0.086,R
0,21-08-2021,16,0.072,R
0,21-08-2021,17,0.08,R
0,21-08-2021,18,0.078,R
0,21-08-2021,19,0.075,R
0,21-08-2021,20,0.083,R
0,21-08-2021,21,0.068,R
0,21-08-2021,22,0.087,R
0,21-08-2021,23,0.231,R
0,21-08-2021,24,0.444,R
0,22-08-2021,1,0.305,R
0,22-08-2021,2,0.152,R
0,22-08-2021,3,0.079,R
0,22-08-2021,4,0.079,R
0,22-08-2021,5,0.076,R
0,22-08-2021,6,0.077,R
0,22-08-2021,7,0.076,R
0,22-08-2021,8,0.077,R
0,22-08-2021,9,0.075,R
0,22-08-2021,10,0.084,R
0,22-08-2021,11,0.157,R
0,22-08-2021,12,0.145,R
0,22-08-2021,13,0.091,R
0,22-08-2021,14,0.076,R
0,22-08-2021,15,0.077,R
0,22-08-2021,16,0.078,R
0,22-08-2021,17,0.074,R
0,22-08-2021,18,0.08,R
0,22-08-2021,19,0.072,R
0,22-08-2021,20,0.082,R
0,22-08-2021,21,0.069,R
0,22-08-2021,22,0.141,R
0,22-08-2021,23,0.209,R
0,22-08-2021,24,0.222,R
0,23-08-2021,1,0.112,R
0,23-08-2021,2,0.08,R
0,23-08-2021,3,0.072,R
0,23-08-2021,4,0.086,R
0,23-08-2021,5,0.067,R
0,23-08-2021,6,0.086,R
0,23-08-2021,7,0.072,R
0,23-08-2021,8,0.08,R
0,23-08-2021,9,0.078,R
0,23-08-2021,10,0.178,R
0,23-08-2021,11,0.358,R
0,23-08-2021,12,0.187,R
0,23-08-2021,13,0.078,R
0,23-08-2021,14,0.081,R
0,23-08-2021,15,0.081,R
0,23-08-2021,16,0.08,R
0,23-08-2021,17,0.075,R
0,23-08-2021,18,0.079,R
0,23-08-2021,19,0.077,R
0,23-08-2021,20,0.074,R
0,23-08-2021,21,0.077,R
0,23-08-2021,22,0.082,R
0,23-08-2021,23,0.158,R
0,23-08-2021,24,0.249,R
0,24-08-2021,1,0.211,R
0,24-08-2021,2,0.106,R
0,24-08-2021,3,0.091,R
0,24-08-2021,4,0.075,R
0,24-08-2021,5,0.085,R
0,24-08-2021,6,0.082,R
0,24-08-2021,7,0.075,R
0,24-08-2021,8,0.088,R
0,24-08-2021,9,0.205,R
0,24-08-2021,10,0.112,R
0,24-08-2021,11,0.081,R
0,24-08-2021,12,0.08,R
0,24-08-2021,13,0.079,R
0,24-08-2021,14,0.08,R
0,24-08-2021,15,0.079,R
0,24-08-2021,16,0.079,R
0,24-08-2021,17,0.079,R
0,24-08-2021,18,0.079,R
0,24-08-2021,19,0.079,R
0,24-08-2021,20,0.08,R
0,24-08-2021,21,0.079,R
0,24-08-2021,22,0.08,R
0,24-08-2021,23,0.086,R
0,24-08-2021,24,0.231,R
0,25-08-2021,1,0.214,R
0,25-08-2021,2,0.101,R
0,25-08-2021,3,0.093,R
0,25-08-2021,4,0.091,R
0,25-08-2021,5,0.084,R
0,25-08-2021,6,0.076,R
0,25-08-2021,7,0.087,R
0,25-08-2021,8,0.083,R
0,25-08-2021,9,0.079,R
0,25-08-2021,10,0.096,R
0,25-08-2021,11,0.148,R
0,25-08-2021,12,0.099,R
0,25-08-2021,13,0.067,R
0,25-08-2021,14,0.113,R
0,25-08-2021,15,0.078,R
0,25-08-2021,16,0.09,R
0,25-08-2021,17,0.069,R
0,25-08-2021,18,0.09,R
0,25-08-2021,19,0.07,R
0,25-08-2021,20,0.088,R
0,25-08-2021,21,0.144,R
0,25-08-2021,22,0.088,R
0,25-08-2021,23,0.355,R
0,25-08-2021,24,0.293,R
0,26-08-2021,1,0.206,R
0,26-08-2021,2,0.085,R
0,26-08-2021,3,0.088,R
0,26-08-2021,4,0.074,R
0,26-08-2021,5,0.082,R
0,26-08-2021,6,0.084,R
0,26-08-2021,7,0.071,R
0,26-08-2021,8,0.086,R
0,26-08-2021,9,0.189,R
0,26-08-2021,10,0.187,R
0,26-08-2021,11,0.085,R
0,26-08-2021,12,0.072,R
0,26-08-2021,13,0.086,R
0,26-08-2021,14,0.081,R
0,26-08-2021,15,0.073,R
0,26-08-2021,16,0.086,R
0,26-08-2021,17,0.077,R
0,26-08-2021,18,0.077,R
0,26-08-2021,19,0.087,R
0,26-08-2021,20,0.068,R
0,26-08-2021,21,0.086,R
0,26-08-2021,22,0.075,R
0,26-08-2021,23,0.083,R
0,26-08-2021,24,0.265,R
0,27-08-2021,1,0.246,R
0,27-08-2021,2,0.097,R
0,27-08-2021,3,0.101,R
0,27-08-2021,4,0.148,R
0,27-08-2021,5,0.09,R
0,27-08-2021,6,0.081,R
0,27-08-2021,7,0.087,R
0,27-08-2021,8,0.087,R
0,27-08-2021,9,0.077,R
0,27-08-2021,10,0.079,R
0,27-08-2021,11,0.167,R
0,27-08-2021,12,0.108,R
0,27-08-2021,13,0.093,R
0,27-08-2021,14,0.076,R
0,27-08-2021,15,0.077,R
0,27-08-2021,16,0.084,R
0,27-08-2021,17,0.082,R
0,27-08-2021,18,0.075,R
0,27-08-2021,19,0.075,R
0,27-08-2021,20,0.083,R
0,27-08-2021,21,0.082,R
0,27-08-2021,22,0.074,R
0,27-08-2021,23,0.074,R
0,27-08-2021,24,0.225,R
0,28-08-2021,1,0.204,R
0,28-08-2021,2,0.142,R
0,28-08-2021,3,0.077,R
0,28-08-2021,4,0.09,R
0,28-08-2021,5,0.085,R
0,28-08-2021,6,0.081,R
0,28-08-2021,7,0.079,R
0,28-08-2021,8,0.074,R
0,28-08-2021,9,0.074,R
0,28-08-2021,10,0.091,R
0,28-08-2021,11,0.08,R
0,28-08-2021,12,0.189,R
0,28-08-2021,13,0.213,R
0,28-08-2021,14,0.26,R
0,28-08-2021,15,0.235,R
0,28-08-2021,16,0.227,R
0,28-08-2021,17,0.105,R
0,28-08-2021,18,0.118,R
0,28-08-2021,19,0.159,R
0,28-08-2021,20,0.088,R
0,28-08-2021,21,0.085,R
0,28-08-2021,22,0.08,R
0,28-08-2021,23,0.077,R
0,28-08-2021,24,0.084,R
0,29-08-2021,1,0.099,R
0,29-08-2021,2,0.495,R
0,29-08-2021,3,0.139,R
0,29-08-2021,4,0.551,R
0,29-08-2021,5,0.092,R
0,29-08-2021,6,0.079,R
0,29-08-2021,7,0.078,R
0,29-08-2021,8,0.088,R
0,29-08-2021,9,0.074,R
0,29-08-2021,10,0.083,R
0,29-08-2021,11,0.313,R
0,29-08-2021,12,0.226,R
0,29-08-2021,13,0.101,R
0,29-08-2021,14,0.074,R
0,29-08-2021,15,0.084,R
0,29-08-2021,16,0.082,R
0,29-08-2021,17,0.081,R
0,29-08-2021,18,0.076,R
0,29-08-2021,19,0.074,R
0,29-08-2021,20,0.078,R
0,29-08-2021,21,0.081,R
0,29-08-2021,22,0.074,R
0,29-08-2021,23,0.105,R
0,29-08-2021,24,0.219,R
0,30-08-2021,1,0.123,R
0,30-08-2021,2,0.083,R
0,30-08-2021,3,0.073,R
0,30-08-2021,4,0.077,R
0,30-08-2021,5,0.082,R
0,30-08-2021,6,0.08,R
0,30-08-2021,7,0.08,R
0,30-08-2021,8,0.074,R
0,30-08-2021,9,0.239,R
0,30-08-2021,10,0.33,R
0,30-08-2021,11,0.248,R
0,30-08-2021,12,0.185,R
0,30-08-2021,13,0.204,R
0,30-08-2021,14,0.208,R
0,30-08-2021,15,0.182,R
0,30-08-2021,16,0.194,R
0,30-08-2021,17,0.234,R
0,30-08-2021,18,0.352,R
0,30-08-2021,19,0.196,R
0,30-08-2021,20,0.083,R
0,30-08-2021,21,0.13,R
0,30-08-2021,22,0.275,R
0,30-08-2021,23,0.216,R
0,30-08-2021,24,0.225,R
0,31-08-2021,1,0.117,R
0,31-08-2021,2,0.083,R
0,31-08-2021,3,0.077,R
0,31-08-2021,4,0.072,R
0,31-08-2021,5,0.083,R
0,31-08-2021,6,0.082,R
0,31-08-2021,7,0.076,R
0,31-08-2021,8,0.071,R
0,31-08-2021,9,0.156,R
0,31-08-2021,10,0.17,R
0,31-08-2021,11,0.251,R
0,31-08-2021,12,0.168,R
0,31-08-2021,13,0.201,R
0,31-08-2021,14,0.173,R
0,31-08-2021,15,0.162,R
0,31-08-2021,16,0.198,R
0,31-08-2021,17,0.175,R
0,31-08-2021,18,0.104,R
0,31-08-2021,19,0.324,R
0,31-08-2021,20,0.416,R
0,31-08-2021,21,0.342,R
0,31-08-2021,22,0.206,R
0,31-08-2021,23,0.223,R
0,31-08-2021,24,0.382,R
0,01-09-2021,1,0.311,R
0,01-09-2021,2,0.066,R
0,01-09-2021,3,0.073,R
0,01-09-2021,4,0.072,R
0,01-09-2021,5,0.069,R
0,01-09-2021,6,0.075,R
0,01-09-2021,7,0.126,R
0,01-09-2021,8,0.175,R
0,01-09-2021,9,0.137,R
0,01-09-2021,10,0.182,R
0,01-09-2021,11,0.226,R
0,01-09-2021,12,0.208,R
0,01-09-2021,13,0.234,R
0,01-09-2021,14,0.183,R
0,01-09-2021,15,0.215,R
0,01-09-2021,16,0.223,R
0,01-09-2021,17,0.234,R
0,01-09-2021,18,0.372,R
0,01-09-2021,19,0.353,R
0,01-09-2021,20,0.214,R
0,01-09-2021,21,0.206,R
0,01-09-2021,22,0.212,R
0,01-09-2021,23,0.219,R
0,01-09-2021,24,0.213,R
0,02-09-2021,1,0.178,R
0,02-09-2021,2,0.127,R
0,02-09-2021,3,0.083,R
0,02-09-2021,4,0.072,R
0,02-09-2021,5,0.085,R
0,02-09-2021,6,0.084,R
0,02-09-2021,7,0.072,R
0,02-09-2021,8,0.079,R
0,02-09-2021,9,0.159,R
0,02-09-2021,10,0.21,R
0,02-09-2021,11,0.255,R
0,02-09-2021,12,0.2,R
0,02-09-2021,13,0.201,R
0,02-09-2021,14,0.211,R
0,02-09-2021,15,0.2,R
0,02-09-2021,16,0.207,R
0,02-09-2021,17,0.25,R
0,02-09-2021,18,0.171,R
0,02-09-2021,19,0.165,R
0,02-09-2021,20,0.204,R
0,02-09-2021,21,0.297,R
0,02-09-2021,22,0.224,R
0,02-09-2021,23,0.228,R
0,02-09-2021,24,0.255,R
0,03-09-2021,1,0.262,R
0,03-09-2021,2,0.388,R
0,03-09-2021,3,0.116,R
0,03-09-2021,4,0.454,R
0,03-09-2021,5,0.078,R
0,03-09-2021,6,0.078,R
0,03-09-2021,7,0.078,R
0,03-09-2021,8,0.086,R
0,03-09-2021,9,0.295,R
0,03-09-2021,10,0.276,R
0,03-09-2021,11,0.232,R
0,03-09-2021,12,0.204,R
0,03-09-2021,13,0.212,R
0,03-09-2021,14,0.204,R
0,03-09-2021,15,0.215,R
0,03-09-2021,16,0.227,R
0,03-09-2021,17,0.272,R
0,03-09-2021,18,0.325,R
0,03-09-2021,19,0.226,R
0,03-09-2021,20,0.07,R
0,03-09-2021,21,0.075,R
0,03-09-2021,22,0.078,R
0,03-09-2021,23,0.077,R
0,03-09-2021,24,0.079,R
0,04-09-2021,1,0.107,R
0,04-09-2021,2,0.084,R
0,04-09-2021,3,0.084,R
0,04-09-2021,4,0.066,R
0,04-09-2021,5,0.08,R
0,04-09-2021,6,0.079,R
0,04-09-2021,7,0.074,R
0,04-09-2021,8,0.135,R
0,04-09-2021,9,0.074,R
0,04-09-2021,10,0.08,R
0,04-09-2021,11,0.218,R
0,04-09-2021,12,0.287,R
0,04-09-2021,13,0.238,R
0,04-09-2021,14,0.217,R
0,04-09-2021,15,0.262,R
0,04-09-2021,16,0.2,R
0,04-09-2021,17,0.097,R
0,04-09-2021,18,0.076,R
0,04-09-2021,19,0.077,R
0,04-09-2021,20,0.077,R
0,04-09-2021,21,0.076,R
0,04-09-2021,22,0.075,R
0,04-09-2021,23,0.075,R
0,04-09-2021,24,0.093,R
0,05-09-2021,1,0.227,R
0,05-09-2021,2,0.149,R
0,05-09-2021,3,0.087,R
0,05-09-2021,4,0.066,R
0,05-09-2021,5,0.083,R
0,05-09-2021,6,0.074,R
0,05-09-2021,7,0.072,R
0,05-09-2021,8,0.081,R
0,05-09-2021,9,0.067,R
0,05-09-2021,10,0.082,R
0,05-09-2021,11,0.2,R
0,05-09-2021,12,0.215,R
0,05-09-2021,13,0.085,R
0,05-09-2021,14,0.07,R
0,05-09-2021,15,0.101,R
0,05-09-2021,16,0.081,R
0,05-09-2021,17,0.126,R
0,05-09-2021,18,0.093,R
0,05-09-2021,19,0.077,R
0,05-09-2021,20,0.07,R
0,05-09-2021,21,0.079,R
0,05-09-2021,22,0.077,R
0,05-09-2021,23,0.076,R
0,05-09-2021,24,0.078,R
0,06-09-2021,1,0.088,R
0,06-09-2021,2,0.077,R
0,06-09-2021,3,0.078,R
